store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday
415,7,0,0,0,0,0
27,7,0,0,0,0,0
404,3,657,1,1,0,0
683,2,862,1,0,0,0
920,3,591,1,1,0,0
758,4,569,1,0,0,0
563,1,321,1,1,0,0
930,6,1367,1,0,0,0
756,4,0,0,1,0,0
49,2,546,1,1,0,0
787,4,968,1,0,0,1
782,4,472,1,0,0,0
897,7,0,0,0,0,0
933,1,965,1,0,0,0
218,2,804,1,0,0,1
554,3,499,1,1,0,1
362,1,1337,1,1,0,1
655,3,560,1,0,0,0
785,3,461,1,0,0,1
690,3,866,1,1,0,0
1103,7,0,0,0,0,0
431,1,1367,1,1,0,0
127,2,642,1,1,0,0
579,5,0,0,1,0,1
248,6,1139,1,0,0,0
962,6,0,0,0,0,0
224,2,515,1,1,0,1
208,3,355,1,1,0,1
401,1,1063,1,1,0,0
503,7,0,0,0,0,0
221,4,562,1,1,0,0
268,7,0,0,0,0,0
799,2,927,1,1,0,1
260,6,894,1,0,0,0
1041,2,594,1,0,0,0
350,2,533,1,1,0,0
286,7,0,0,0,0,0
620,2,709,1,1,0,0
521,1,484,1,1,0,0
649,4,435,1,1,0,0
1059,2,1239,1,1,0,0
486,6,373,1,0,0,0
252,4,642,1,0,0,0
656,3,421,1,1,0,0
642,5,394,1,0,0,0
655,5,761,1,1,0,0
992,3,627,1,0,0,0
143,2,731,1,1,0,0
421,5,941,1,1,0,1
246,4,1157,1,1,0,0
960,1,720,1,1,0,0
313,5,697,1,0,0,0
291,6,534,1,0,0,0
924,6,333,1,0,0,0
337,2,430,1,1,0,1
1024,4,607,1,0,0,0
56,3,402,1,1,0,0
507,3,532,1,0,0,0
970,5,406,1,0,0,0
846,2,828,1,0,0,0
549,3,582,1,0,0,0
1095,4,852,1,1,0,1
859,5,709,1,1,0,0
914,2,1178,1,1,0,1
888,2,634,1,0,0,0
442,2,517,1,1,0,0
34,6,905,1,0,0,0
199,4,581,1,0,0,0
854,4,657,1,1,0,0
611,2,485,1,1,0,0
808,4,528,1,0,0,1
1105,4,410,1,0,0,0
866,5,445,1,0,0,0
222,6,367,1,0,0,0
476,2,753,1,1,0,0
800,1,494,1,0,0,0
330,1,408,1,0,0,0
507,3,648,1,1,0,0
98,7,0,0,0,0,0
1026,2,1044,1,0,0,0
990,5,719,1,0,0,0
8,6,345,1,0,0,0
611,3,566,1,1,0,1
257,2,777,1,1,0,0
840,4,1189,1,1,0,0
848,5,998,1,1,0,1
124,6,297,1,0,0,0
1028,2,438,1,0,0,1
95,2,1099,1,1,0,0
208,1,323,1,0,0,0
249,2,449,1,0,0,0
887,3,614,1,1,0,0
73,1,601,1,1,0,1
13,4,501,1,1,0,1
1049,2,580,1,0,0,1
144,4,769,1,1,0,0
847,3,1018,1,1,0,1
796,3,717,1,0,0,0
396,4,1139,1,0,0,0
1080,7,0,0,0,0,0
675,5,338,1,0,0,0
1099,1,1236,1,1,0,0
791,1,858,1,0,0,0
1014,2,1476,1,0,0,0
487,2,737,1,1,0,0
427,3,701,1,0,0,1
254,5,282,1,1,0,0
43,5,710,1,0,0,0
1074,2,421,1,0,0,0
549,6,380,1,0,0,0
1095,2,720,1,1,0,0
295,1,612,1,0,0,1
319,1,863,1,0,0,1
1002,4,642,1,0,0,0
448,6,544,1,0,0,0
527,2,1046,1,0,0,1
255,5,652,1,1,0,0
581,5,651,1,1,0,0
185,6,550,1,0,0,0
244,6,538,1,0,0,0
1082,6,877,1,0,0,0
216,5,837,1,1,0,0
350,4,508,1,1,0,0
748,1,822,1,1,0,0
718,1,962,1,0,0,0
739,5,789,1,1,0,0
614,7,0,0,0,0,0
673,2,615,1,1,0,0
83,1,367,1,0,0,0
976,3,598,1,0,0,0
637,6,518,1,0,0,0
122,2,714,1,1,0,0
898,1,1013,1,1,0,0
1080,4,710,1,0,0,0
291,1,1290,1,1,0,0
24,4,711,1,0,0,1
1096,7,0,0,0,0,0
637,5,860,1,0,0,0
1002,2,850,1,1,0,0
666,1,497,1,0,0,0
1089,7,0,0,0,0,0
334,6,515,1,0,0,0
300,6,951,1,0,0,1
207,1,1166,1,0,0,0
683,3,854,1,0,0,0
1094,2,394,1,1,0,0
700,4,576,1,0,0,0
959,2,744,1,0,0,0
766,7,0,0,0,0,0
1011,6,977,1,0,0,0
570,5,676,1,0,0,0
685,2,689,1,1,0,0
158,3,681,1,1,0,1
66,5,522,1,0,0,1
76,2,1080,1,1,0,0
572,3,458,1,0,0,0
184,6,510,1,0,0,0
1034,5,775,1,1,0,0
559,7,0,0,0,0,0
862,2,1561,1,0,0,1
171,2,962,1,1,0,0
33,7,0,0,0,0,0
936,4,963,1,1,0,0
948,2,1682,1,1,0,0
371,6,551,1,0,0,0
242,1,378,1,1,0,0
133,5,622,1,0,0,0
1031,1,681,1,1,0,0
850,4,710,1,1,0,0
860,5,833,1,1,0,0
836,6,301,1,0,0,0
965,6,908,1,0,0,0
1096,1,763,1,1,0,0
504,3,836,1,1,0,1
230,1,1327,1,0,0,1
826,1,1170,1,1,0,0
975,2,767,1,1,0,1
602,2,547,1,0,0,1
953,5,553,1,1,0,0
187,6,491,1,0,0,0
792,5,599,1,0,0,0
1035,4,744,1,1,0,0
523,3,1515,1,1,0,1
723,4,461,1,0,0,1
1025,7,0,0,0,0,0
18,7,0,0,0,0,0
997,3,378,1,1,0,1
400,6,805,1,0,0,0
1047,2,491,1,0,0,0
819,1,472,1,0,0,0
668,1,1562,1,1,0,0
585,4,666,1,0,0,0
99,1,404,1,0,0,0
965,6,847,1,0,0,0
590,4,376,1,1,0,0
709,2,1682,1,1,0,0
58,7,0,0,0,0,0
409,7,0,0,0,0,0
850,6,826,1,0,0,0
1058,3,737,1,1,0,0
1067,7,0,0,0,0,0
777,1,0,0,0,0,1
155,3,632,1,1,0,0
598,1,871,1,1,0,0
493,2,902,1,1,0,0
628,7,0,0,0,0,1
524,1,1193,1,0,0,1
966,4,585,1,0,0,1
1022,5,791,1,0,0,1
380,3,1720,1,1,0,0
132,3,579,1,1,0,0
400,5,999,1,0,0,0
988,4,790,1,1,0,0
906,2,1476,1,1,0,0
1028,2,689,1,1,0,0
1100,6,484,1,0,0,0
759,1,607,1,0,0,0
223,1,716,1,0,0,0
936,7,0,0,0,0,0
780,6,341,1,0,0,0
259,5,2677,1,1,0,0
131,6,582,1,0,0,0
251,3,2241,1,1,0,0
1079,6,517,1,0,0,0
1003,3,1029,1,1,0,0
980,4,450,1,0,0,0
654,2,766,1,1,0,0
966,4,517,1,0,0,1
1020,1,929,1,0,0,0
969,3,610,1,1,0,0
1038,2,490,1,0,0,1
516,3,453,1,0,0,1
733,1,3171,1,0,0,0
595,6,1881,1,0,0,0
260,3,962,1,1,0,1
768,6,1251,1,0,0,0
940,1,627,1,0,0,0
364,4,563,1,0,0,0
506,3,763,1,0,0,1
671,3,507,1,1,0,1
300,6,862,1,0,0,0
84,2,1563,1,1,0,0
219,4,455,1,1,0,0
934,5,764,1,1,0,0
125,3,1906,1,1,0,1
176,3,757,1,1,0,0
223,2,675,1,0,0,0
326,1,429,1,1,0,0
339,2,745,1,1,0,0
872,3,659,1,0,0,1
579,7,0,0,0,0,0
974,5,1599,1,0,0,0
979,7,0,0,0,0,0
880,3,806,1,1,0,0
910,7,0,0,0,0,0
1084,6,614,1,0,0,0
92,5,453,1,0,0,0
14,6,402,1,0,0,0
587,1,960,1,0,0,1
230,4,856,1,1,0,0
689,6,589,1,0,0,0
599,1,1096,1,1,0,0
596,7,0,0,0,0,0
576,1,749,1,0,0,0
141,4,493,1,0,0,0
751,1,0,0,0,0,1
877,5,925,1,0,0,0
375,2,948,1,1,0,0
230,1,988,1,0,0,0
545,3,1087,1,1,0,0
1022,1,1093,1,1,0,0
597,3,756,1,1,0,1
559,7,0,0,0,0,0
1024,6,825,1,0,0,0
36,2,1205,1,1,0,0
702,2,351,1,1,0,1
623,7,0,0,0,0,0
105,4,483,1,0,0,0
902,2,648,1,1,0,0
11,6,786,1,0,0,0
1039,5,629,1,0,0,0
102,1,1174,1,1,0,0
543,5,175,1,0,0,1
827,4,1910,1,0,0,1
110,3,647,1,1,0,0
945,1,698,1,1,0,1
582,3,749,1,0,0,0
554,4,428,1,0,0,0
486,2,384,1,0,0,1
637,6,520,1,0,0,0
806,5,578,1,0,0,0
887,6,462,1,0,0,0
374,6,668,1,0,0,0
1025,5,804,1,0,0,1
638,2,431,1,0,0,1
123,6,490,1,0,0,0
905,4,1108,1,1,0,0
536,5,989,1,0,0,1
763,7,0,0,0,0,0
191,6,694,1,0,0,0
957,4,948,1,1,0,0
268,4,618,1,1,0,0
654,6,266,1,0,0,0
612,6,388,1,0,0,0
747,3,567,1,0,0,1
656,6,380,1,0,0,0
368,5,592,1,0,0,1
959,3,552,1,0,0,0
329,2,708,1,1,0,0
97,3,535,1,0,0,1
314,2,661,1,1,0,1
463,7,0,0,0,0,0
258,1,0,0,0,0,0
283,3,621,1,0,0,0
556,1,754,1,0,0,0
388,5,1211,1,1,0,0
67,3,837,1,1,0,1
725,5,677,1,1,0,0
219,4,416,1,1,0,0
1077,2,479,1,0,0,0
322,4,589,1,0,0,0
